Timestamp,"By ticking the box below , you agree to having read and understood the text above and provide your answers voluntarily for the purpose of this study",Which of the following money-generating pathway/s are you currently focusing on? (i.e. you are actively preparing yourself for it or already engaged in it) ,What is your gender?,What is your age?,Please select the region in which you have lived most of your life.,Please select the option that fits the country in which you've spent most of your life.,"Are you an IBA, GEM, or IEM major?",What is your major? ,Are you or have you been involved in IBCM and/or JSC?,"What is your GPA? (German scale, please base it off your overall study results, e.g. 1.33)","Do you have frequent exposure to personal finance content? 1 hour per week or more dedicated to books, articles, videos, podcasts, voluntary courses, etc.",Did one of your parents/guardians make money through employment?,Have you lived for more than one (1) year in Germany?,Did one of your parents/guardians make money through self-employment?,Did one of your parents/guardians make money through investments?,Did one of your parents/guardians make money through  large business ownership?,"How much do you value financial safety and certainty when making financial decisions? (e.g. a purchase, investment, job security, or planning for the future)",How perfectionist do you consider yourself to be?,How much of a leader do you consider yourself to be?,How much do you like teamwork?,"Has moving to Germany (if applicable) had an impact on how you manage your money, plan for your financial future, and/or altered your mindset when it comes to money? Why or why not?",Do you consistently spend time with people who are interested and continuously engaged in personal finance topics?
2/8/2023 5:01:30,I agree to participate in this questionnaire,"Employee, Investor",Male,21,Latin America and the Caribbean,"Lower-middle income, Low income",No,Physics,No,1.26,No,Yes,Yes,Yes,No,No,4,5,4,4,"Moving to Germany has made me more aware of  where I spend my money, probably because I have become way more financially independent since I moved to Germany.",2
2/8/2023 4:39:38,I agree to participate in this questionnaire,"Employee, Investor",Male,18,Latin America and the Caribbean,"High income, Upper-middle income",Yes,IEM,Yes,1.33,Yes,Yes,No,Yes,Yes,Yes,4,4,3,2,Yes,3
3/9/2023 6:04:33,I agree to participate in this questionnaire,"Employee, Investor",Male,20,Africa,"High income, Upper-middle income",Yes,IEM,No,1.6,Yes,Yes,Yes,No,Yes,No,4,3,4,2,,5
2/20/2023 4:52:32,I agree to participate in this questionnaire,"Employee, Investor",Male,22,Africa,"Lower-middle income, Low income",Yes,IEM,Yes,1.62,Yes,No,Yes,Yes,Yes,No,4,3,4,4,Yes. I have to budget for myself.,4
1/24/2023 9:49:38,I agree to participate in this questionnaire,"Employee, Investor",Male,28,Western Europe,"High income, Upper-middle income",Yes,IBA,Yes,2,Yes,Yes,Yes,Yes,Yes,No,3,1,4,4,I did not move to Germany.,5
1/24/2023 8:44:09,I agree to participate in this questionnaire,"Employee, Investor, Business owner",Male,21,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IEM,Yes,1.5,Yes,Yes,Yes,No,No,No,4,4,4,3,"Yes, I have a better perspective about money, and have learned that a job is not a safe place. It has then altered my brain, and I am now learning about personal finance.",4
2/6/2023 6:50:51,I agree to participate in this questionnaire,"Employee, Investor, Business owner",Male,20,North America,"High income, Upper-middle income",No,CBT,Yes,2,Yes,Yes,Yes,No,Yes,No,4,5,5,2,-,3
2/8/2023 5:56:57,I agree to participate in this questionnaire,"Employee, Investor, Business owner",Male,22,Africa,"Lower-middle income, Low income",No,CS,Yes,2.35,Yes,Yes,Yes,Yes,Yes,No,3,5,0,0,,3
3/2/2023 14:34:13,I agree to participate in this questionnaire,"Employee, Self-employed",Female,21,Western Europe,"High income, Upper-middle income",Yes,GEM,Yes,1.3,Yes,Yes,Yes,Yes,Yes,Yes,4,4,5,4,,4
2/17/2023 7:58:50,I agree to participate in this questionnaire,"Employee, Self-employed",Female,19,Eastern Europe,"Lower-middle income, Low income",No,CS,No,1.33,Yes,Yes,No,Yes,Yes,Yes,5,5,5,1,YES!,2
2/17/2023 8:02:38,I agree to participate in this questionnaire,"Employee, Self-employed",Male,18,Eastern Europe,"Lower-middle income, Low income",No,ECE,No,2.5,No,Yes,No,No,No,No,3,3,1,3,"Yes. Coming here has made me value money more, as everything is more expensive here. It also made me more seriously consider self employment as opposed to wage labour and employment for my future.",2
2/6/2023 4:38:02,I agree to participate in this questionnaire,"Employee, Self-employed",Male,22,Southeast Asia,"High income, Upper-middle income",No,ECE,No,1,No,No,Yes,Yes,No,Yes,4,4,4,3,,1
2/9/2023 5:25:42,I agree to participate in this questionnaire,"Employee, Self-employed",Male,20,North America,"High income, Upper-middle income",No,EES,No,1,No,Yes,Yes,No,Yes,No,4,3,4,1,"it has impacted my way of managing and seeking out money/employment. here it seems much more relaxed and up to the individual, and everyone can basically live how they want since income and regional taxes dont vary as much in DE as they do in the US.",1
2/8/2023 7:42:45,I agree to participate in this questionnaire,"Employee, Self-employed, Investor",Male,22,Western Europe,"High income, Upper-middle income",No,IRPH,Yes,1,Yes,Yes,Yes,No,Yes,No,5,4,4,5,Lived in Germany most of my life.,5
1/24/2023 9:13:08,I agree to participate in this questionnaire,"Employee, Self-employed, Investor, Business owner",Male,19,Eastern Europe,"High income, Upper-middle income",No,CS,No,3,No,Yes,No,Yes,No,No,4,4,2,2,,4
1/19/2023 20:13:20,I agree to participate in this questionnaire,Employment,Male,21,South Asia,"Lower-middle income, Low income",Yes,IEM,No,1.67,No,Yes,Yes,No,No,No,5,4,1,1,,1
1/20/2023 1:24:29,I agree to participate in this questionnaire,Employment,Female,20,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IEM,No,2,No,Yes,Yes,No,Yes,No,5,5,1,1,,2
1/20/2023 4:37:22,I agree to participate in this questionnaire,Employment,Female,20,Middle East and North Africa,"Lower-middle income, Low income",No,IRPH,No,2,Yes,Yes,Yes,No,No,No,4,4,1,1,,1
1/20/2023 5:12:25,I agree to participate in this questionnaire,Employment,Male,20,Western Europe,"High income, Upper-middle income",Yes,IBA,No,3.44,No,Yes,Yes,No,Yes,No,5,5,1,2,,2
1/19/2023 18:33:41,I agree to participate in this questionnaire,Investor,Female,21,Latin America and the Caribbean,"Lower-middle income, Low income",No,ISCP,No,1.08,No,Yes,Yes,Yes,Yes,No,1,2,3,3,,5
3/2/2023 14:07:30,I agree to participate in this questionnaire,Investor,Female,21,Western Europe,"High income, Upper-middle income",Yes,GEM,Yes,2.33,Yes,No,Yes,No,Yes,Yes,1,2,5,4,,5
2/16/2023 5:02:30,I agree to participate in this questionnaire,Investor,Male,20,Western Europe,"High income, Upper-middle income",Yes,IEM,No,2.5,Yes,No,Yes,No,Yes,Yes,4,3,4,4,"Nope, lived in Germany my entire life, when it comes to money my parents have educated me on how to manage it",5
2/10/2023 8:03:55,I agree to participate in this questionnaire,Investor,Male,21,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IBA,Yes,3,Yes,Yes,Yes,Yes,Yes,No,5,4,5,4,"Living alone has changed the way I manage my money, so yes!",4
3/2/2023 14:21:15,I agree to participate in this questionnaire,Investor,Female,21,Africa,"Lower-middle income, Low income",Yes,IBA,Yes,3,Yes,Yes,Yes,No,No,No,1,1,4,4,,5
3/3/2023 6:08:50,I agree to participate in this questionnaire,Investor,Female,22,North America,"High income, Upper-middle income",Yes,IBA,Yes,3,Yes,No,Yes,Yes,Yes,No,1,1,4,4,,5
3/9/2023 14:38:47,I agree to participate in this questionnaire,Investor,Male,21,Western Europe,"High income, Upper-middle income",Yes,GEM,Yes,3,Yes,No,Yes,No,Yes,No,0,0,5,5,,5
3/10/2023 5:29:31,I agree to participate in this questionnaire,Investor,Male,23,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,GEM,Yes,3.12,Yes,Yes,Yes,No,Yes,No,2,4,5,4,,4
3/9/2023 14:47:34,I agree to participate in this questionnaire,Investor,Female,22,Western Europe,"High income, Upper-middle income",Yes,IBA,Yes,3.33,Yes,No,Yes,Yes,Yes,No,1,2,4,4,,4
3/2/2023 14:16:53,I agree to participate in this questionnaire,Investor,Male,22,North America,"High income, Upper-middle income",No,CS,Yes,4,Yes,No,Yes,No,Yes,No,1,1,3,4,,5
3/7/2023 5:18:23,I agree to participate in this questionnaire,Investor,Female,23,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IBA,Yes,4,Yes,Yes,Yes,Yes,No,No,1,1,4,4,,5
3/9/2023 14:59:18,I agree to participate in this questionnaire,Investor,Female,23,Western Europe,"High income, Upper-middle income",Yes,IBA,Yes,4,Yes,No,No,No,Yes,Yes,1,1,4,4,,5
3/10/2023 5:23:04,I agree to participate in this questionnaire,Investor,Female,21,Africa,"Lower-middle income, Low income",Yes,IBA,Yes,4,Yes,Yes,Yes,No,No,No,1,3,4,3,,4
3/7/2023 4:09:16,I agree to participate in this questionnaire,Investor,Female,22,Middle East and North Africa,"Lower-middle income, Low income",Yes,GEM,Yes,3,Yes,Yes,Yes,No,No,No,1,1,3,4,,5
1/19/2023 16:53:10,Agree to participate in this questionnaire,"Investor, Business owner",Female,20,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,GEM,Yes,1.42,Yes,Yes,Yes,No,No,No,1,3,5,4,,4
1/19/2023 17:03:12,Agree to participate in this questionnaire,"Investor, Business owner",Male,21,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IEM,Yes,1.5,Yes,Yes,Yes,No,No,No,1,2,4,5,,5
1/24/2023 8:18:03,I agree to participate in this questionnaire,"Investor, Business owner",Female,20,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,GEM,Yes,1.5,Yes,Yes,Yes,No,No,No,2,2,5,4,,3
2/20/2023 4:58:43,I agree to participate in this questionnaire,"Investor, Business owner",Male,22,Latin America and the Caribbean,"High income, Upper-middle income",Yes,IEM,Yes,2,Yes,No,Yes,Yes,Yes,Yes,4,4,4,4,"Monthly deposits by my parents have held me responsible for buying groceries and leisure activities. From this money I have also learned to save part of it to make a monthly deposit into the stock market, the more I can save by the end of the month the more I invest in the stock market. This has taught me the value of money, how to save money and how to invest minimising risk.",4
1/24/2023 8:42:56,I agree to participate in this questionnaire,"Investor, Business owner",Male,19,Southeast Asia,"High income, Upper-middle income",No,Robotics,No,2.43,Yes,No,Yes,Yes,Yes,No,3,2,3,4,"A lot. Too many reasons, to start with made me more ambitious for money.",3
3/2/2023 15:25:06,I agree to participate in this questionnaire,"Investor, Business owner",Male,22,Africa,"Lower-middle income, Low income",Yes,GEM,No,3.68,No,Yes,No,No,No,No,4,4,3,4,"Yes, it made me value money more due as cost of living is significantly high compared to my country ",2
2/8/2023 4:03:57,I agree to participate in this questionnaire,"Investor, Business owner",Female,20,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IEM,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes,4,3,3,4,"Yes, living alone has given me a better understanding of my financial situation",2
2/17/2023 8:07:22,I agree to participate in this questionnaire,"Investor, Business owner",Male,23,Eastern Europe,"Lower-middle income, Low income",No,Physics,No,4,Yes,Yes,Yes,Yes,No,No,4,4,5,4,"Yes a little bit, because being new here and not knowing the culture and people make you feel a little bit reserved to everything",3
1/25/2023 0:23:28,I agree to participate in this questionnaire,Self-employed,Female,18,Middle East and North Africa,"High income, Upper-middle income",No,CS,No,1.67,No,Yes,No,No,No,No,4,5,3,3,"Moving to Germany made me realize that I can only rely on myself in all aspects (of course, with God’s guidance). It altered my mindset, knowing that I am the one who can take hold of my future and have the responsibility of all the financing actions in order to reach it.",1
2/16/2023 2:37:46,I agree to participate in this questionnaire,Self-employed,Male,21,Western Europe,"High income, Upper-middle income",Yes,IEM,No,1.91,No,Yes,Yes,No,No,No,5,5,4,2,,2
3/2/2023 14:35:28,I agree to participate in this questionnaire,Self-employed,Male,20,Eastern Europe,"Lower-middle income, Low income",No,EES,No,2,No,Yes,Yes,No,No,No,4,4,3,0,,0
2/7/2023 6:05:26,I agree to participate in this questionnaire,Self-employed,Male,21,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,GEM,Yes,2.3,Yes,Yes,Yes,Yes,Yes,Yes,5,4,3,4,"Yes, I prioritize different things now and have learned to save more",4
2/17/2023 7:59:05,I agree to participate in this questionnaire,Self-employed,Female,18,Eastern Europe,"Lower-middle income, Low income",No,CBT,No,2.33,Yes,Yes,No,Yes,Yes,No,2,4,4,5,Yes I have learned how to manage my own money and save more,2
1/24/2023 12:44:18,I agree to participate in this questionnaire,Self-employed,Female,18,South Asia,"High income, Upper-middle income",No,CS,No,3,No,Yes,No,No,No,No,5,4,3,4,,1
3/2/2023 14:09:45,I agree to participate in this questionnaire,Self-employed,Female,22,Middle East and North Africa,"Lower-middle income, Low income",No,MCCB,No,1,No,Yes,Yes,Yes,No,No,5,5,0,0,,0
3/9/2023 14:37:31,I agree to participate in this questionnaire,Self-employed,Female,22,Africa,"Lower-middle income, Low income",No,IRPH,No,1,No,Yes,No,No,No,No,5,5,5,0,,0
3/10/2023 5:24:38,I agree to participate in this questionnaire,Self-employed,Female,19,Latin America and the Caribbean,"Lower-middle income, Low income",No,SMP,No,1,No,Yes,No,Yes,No,No,5,1,0,1,,1
1/20/2023 16:17:35,I agree to participate in this questionnaire,Self-employed,Female,22,Middle East and North Africa,"High income, Upper-middle income",Yes,GEM,Yes,1.1,Yes,Yes,Yes,Yes,Yes,No,3,4,5,4,No. I always cared for managing my money and my expenses to better benefit from it in thr future,3
3/9/2023 14:54:52,I agree to participate in this questionnaire,Self-employed,Male,20,Southeast Asia,"Lower-middle income, Low income",No,Mathematics,No,1.2,No,Yes,Yes,Yes,No,No,5,5,1,0,,1
3/9/2023 14:41:25,I agree to participate in this questionnaire,Self-employed,Female,20,Middle East and North Africa,"Lower-middle income, Low income",No,ISCP,No,1.25,No,Yes,No,Yes,No,No,5,5,1,1,,1
3/2/2023 14:13:39,I agree to participate in this questionnaire,Self-employed,Female,21,Western Europe,"High income, Upper-middle income",No,IRPH,No,1.33,No,Yes,No,Yes,No,No,5,5,1,5,,1
3/3/2023 6:04:35,I agree to participate in this questionnaire,Self-employed,Female,20,North America,"High income, Upper-middle income",No,IRPH,No,1.33,No,Yes,No,Yes,No,No,5,5,1,1,,0
3/7/2023 5:15:15,I agree to participate in this questionnaire,Self-employed,Female,22,Eastern Europe,"Lower-middle income, Low income",No,IRPH,No,1.33,No,Yes,No,Yes,No,No,5,5,0,0,,1
3/9/2023 14:43:07,I agree to participate in this questionnaire,Self-employed,Male,20,Central Asia,"Lower-middle income, Low income",No,ISCP,No,1.33,No,Yes,No,Yes,No,No,4,5,0,0,,1
3/9/2023 15:04:58,I agree to participate in this questionnaire,Self-employed,Male,18,Eastern Europe,"Lower-middle income, Low income",No,ISCP,No,1.4,No,Yes,Yes,Yes,No,No,5,4,2,2,,2
3/2/2023 14:27:34,I agree to participate in this questionnaire,Self-employed,Female,23,Middle East and North Africa,"Lower-middle income, Low income",No,MCCB,No,1.5,No,Yes,Yes,Yes,No,No,5,5,1,1,,1
1/24/2023 6:07:42,I agree to participate in this questionnaire,Self-employed,Male,22,Western Europe,"High income, Upper-middle income",Yes,IEM,Yes,2,No,Yes,Yes,No,Yes,No,4,4,4,3,"Yes, tax is crazy. Inflation is mad, invest your money",2
3/10/2023 5:27:25,I agree to participate in this questionnaire,Self-employed,Male,18,Western Europe,"High income, Upper-middle income",No,ISCP,No,2,No,Yes,No,Yes,No,No,4,3,1,1,,1
2/17/2023 7:59:01,I agree to participate in this questionnaire,Self-employed,Male,20,Western Europe,"High income, Upper-middle income",No,CS,No,2.47,Yes,Yes,No,Yes,No,No,2,4,4,4,"yeah, it's more expensive",5
2/17/2023 8:05:27,I agree to participate in this questionnaire,Self-employed,Male,19,Eastern Europe,"Lower-middle income, Low income",No,Robotics,No,5,Yes,Yes,No,No,No,No,0,4,5,5,,2
2/17/2023 7:58:19,I agree to participate in this questionnaire,Self-employed,Female,19,Eastern Europe,"Lower-middle income, Low income",No,CS,No,2,Yes,No,No,Yes,Yes,No,2,4,4,3,"Yes, because I am somehow financially aware of my expenses for groceries.",3
3/9/2023 4:20:35,I agree to participate in this questionnaire,Self-employed,Female,18,Western Europe,"High income, Upper-middle income",No,MCCB,No,1,No,Yes,Yes,Yes,Yes,No,0,5,3,3,,4
1/22/2023 11:23:51,I agree to participate in this questionnaire,"Self-employed, Investor",Female,21,Latin America and the Caribbean,"Lower-middle income, Low income",No,ISCP,No,1.08,No,Yes,Yes,Yes,Yes,No,4,4,3,3,I had to learn to manage my personal finances,5
1/26/2023 15:32:59,I agree to participate in this questionnaire,"Self-employed, Investor",Male,22,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,GEM,Yes,1.46,Yes,Yes,Yes,Yes,Yes,No,5,4,4,2,"No, I feel like my financial knowledge is not related to me moving to Germany.",3
1/22/2023 16:24:13,I agree to participate in this questionnaire,"Self-employed, Investor, Business owner",Male,22,Latin America and the Caribbean,"High income, Upper-middle income",Yes,IBA,Yes,1.3,Yes,Yes,Yes,Yes,Yes,Yes,4,5,5,3,Yes,5
3/9/2023 9:16:40,I agree to participate in this questionnaire,"Self-employed, Investor, Business owner",Male,18,Eastern Europe,"High income, Upper-middle income",No,CS,No,2,Yes,No,No,Yes,No,Yes,3,3,5,2,,2
1/19/2023 18:02:05,Agree to participate in this questionnaire,"Self-employment, Investor, Business owner",Male,22,Latin America and the Caribbean,"High income, Upper-middle income",Yes,IBA,Yes,1.3,Yes,Yes,Yes,Yes,Yes,Yes,2,5,3,2,,3