,quadrant,male,age,region,country_income,iba_iem_gem,major,ibcm_jsc,gpa,finance,parents_employmnent,germany,parents_self,parents_invest,parents_business,safety,perfectionist,leader,teamwork,open_ended,people,Investor,Employee,Self-employed,None of the above,Business owner
0,Business owner,0,20,Eastern Europe,0,1,IEM,0,1.33,1,1,1,0,1,0,1,2,5,5,,5,0,0,0,0,1
1,Business owner,1,21,Western Europe,1,0,IRPH,0,1.67,1,1,1,0,0,0,2,1,5,4,,4,0,0,0,0,1
2,Business owner,0,18,Eastern Europe,0,0,CBT,0,2.0,0,1,0,1,1,0,4,4,4,5,,4,0,0,0,0,1
3,Business owner,1,19,Latin America and the Caribbean,0,1,IBA,0,2.1,0,1,1,0,1,0,4,4,4,3,"yes, because living here without my parents made me think more of how important is to have a good management of your own money ",4,0,0,0,0,1
4,Business owner,1,18,Western Europe,0,0,CS,1,2.38,0,1,0,0,1,1,5,0,5,2,,3,0,0,0,0,1
5,Business owner,1,19,North America,1,1,IEM,1,2.52,1,0,1,0,1,1,1,2,4,4,,3,0,0,0,0,1
6,Business owner,0,24,Middle East and North Africa,0,1,IEM,1,2.57,1,1,1,0,0,0,2,2,5,5,,5,0,0,0,0,1
7,Business owner,0,23,Western Europe,1,1,IEM,0,2.97,1,1,0,1,1,0,2,2,5,5,,5,0,0,0,0,1
8,Business owner,1,20,North America,1,1,IBA,1,3.0,1,0,1,0,1,1,0,1,5,5,,5,0,0,0,0,1
9,Business owner,1,22,Latin America and the Caribbean,0,1,GEM,1,3.33,1,1,1,1,0,0,1,0,5,5,,5,0,0,0,0,1
10,Business owner,0,20,North America,1,1,IBA,1,3.33,1,0,1,0,1,1,1,1,5,5,,5,0,0,0,0,1
11,Business owner,0,22,Western Europe,1,1,GEM,1,3.33,1,1,1,0,1,0,1,1,4,5,,5,0,0,0,0,1
12,Business owner,1,22,Western Europe,1,1,IEM,1,3.33,1,0,1,0,1,1,0,1,5,5,,5,0,0,0,0,1
13,Business owner,0,21,Africa,1,0,ECE,0,3.5,0,1,0,1,1,0,4,4,5,5,yes because I have to budget most of the things myself so that I do not go broke or overspent which will be detrimental to my health and stay in the country,2,0,0,0,0,1
14,Business owner,0,22,Western Europe,1,1,GEM,1,3.5,1,0,1,1,1,1,0,2,4,4,,5,0,0,0,0,1
15,Business owner,0,23,Africa,0,1,IBA,1,4.0,1,1,1,0,0,0,0,0,5,5,,5,0,0,0,0,1
16,Business owner,1,23,North America,1,1,IBA,1,4.0,1,0,1,0,1,1,0,1,5,4,,5,0,0,0,0,1
17,Employee,0,21,Africa,0,0,CBT,0,1.0,0,1,0,0,0,0,5,5,1,1,,1,0,1,0,0,0
18,Employee,1,21,Eastern Europe,0,0,Aerospace Engineering Sergei Belussov,0,1.12,0,0,0,0,0,0,3,3,3,3,No. I am Ukrain.,0,0,1,0,0,0
19,Employee,0,19,Western Europe,1,0,IRPH,0,1.12,0,0,1,1,1,0,3,4,4,1,,2,0,1,0,0,0
20,Employee,1,22,East Asia,1,0,IRPH,0,1.19,1,1,1,1,1,0,4,5,5,3,,1,0,1,0,0,0
21,Employee,0,21,North America,1,1,IEM,1,1.2,1,1,1,1,0,0,3,5,4,4,,3,0,1,0,0,0
22,Employee,0,20,Eastern Europe,0,1,IEM,0,1.3,1,1,1,0,1,0,5,5,5,5,"It has, i am more self aware, more cautious,very different from back home since its my own money that I am earning and since my parents are senfing me the money I am more careful about it.",3,0,1,0,0,0
23,Employee,0,23,Western Europe,1,1,GEM,0,1.3,1,1,1,0,1,0,4,4,3,3,,4,0,1,0,0,0
24,Employee,0,21,Eastern Europe,0,1,GEM,1,1.33,1,1,1,0,0,0,5,3,5,3,,2,0,1,0,0,0
25,Employee,0,20,Latin America and the Caribbean,1,1,GEM,1,1.33,0,0,1,1,0,1,5,5,2,2,"After moving to Germany, I have become more financially independent and therefore more financially conscious ",2,0,1,0,0,0
26,Employee,0,21,Africa,0,0,Mathematics,0,1.33,0,1,1,0,0,0,5,5,0,0,,0,0,1,0,0,0
27,Employee,1,18,Eastern Europe,1,0,CS,0,1.33,0,1,0,0,0,0,4,5,3,5,,3,0,1,0,0,0
28,Employee,0,18,Eastern Europe,0,1,GEM,1,1.35,1,0,1,1,1,0,4,3,3,4,"Yes, I stated to think more about investment and financial stability.",3,0,1,0,0,0
29,Employee,1,20,Eastern Europe,0,1,GEM,1,1.4,1,1,1,1,1,0,5,5,5,5,,5,0,1,0,0,0
30,Employee,0,21,Western Europe,1,0,BCCB,0,1.42,0,1,1,0,0,0,3,3,3,2,,1,0,1,0,0,0
31,Employee,1,19,Eastern Europe,0,0,CS,0,1.48,0,1,1,0,0,0,3,4,2,4,No,0,0,1,0,0,0
32,Employee,0,20,Latin America and the Caribbean,1,0,ISCP,0,1.5,0,1,1,1,1,0,4,4,4,3,,2,0,1,0,0,0
33,Employee,1,19,Eastern Europe,0,0,Physics,0,1.5,0,1,0,0,0,0,5,4,1,0,,1,0,1,0,0,0
34,Employee,0,19,Africa,0,0,CBT,0,1.53,0,1,0,1,1,0,4,2,2,2,Yes it has. Since comming to germany I have become more responsible with my money and try to save as much as I can because now I am on my own I feel resposible for my expences,2,0,1,0,0,0
35,Employee,1,21,North America,1,1,IEM,1,1.6,1,1,1,1,0,0,5,3,5,5,"Germany values security over everything, especially when it comes to finances. Rather than blindly adopt this approach, I try to learn from it while maintaining my own “best practices”.",3,0,1,0,0,0
36,Employee,0,23,North America,1,0,EES,0,1.6,0,1,1,1,1,0,3,3,3,1,"Yes, but it wasn't specific to Germany, but rather happened while I had been living here.",3,0,1,0,0,0
37,Employee,0,19,Latin America and the Caribbean,1,0,IRPH,0,1.67,1,1,1,1,0,1,5,4,4,5,"Yes,  currently I make monthly plans on my finances. I am now more aware of expenses and try to make monthly savings",3,0,1,0,0,0
38,Employee,1,18,Western Europe,0,0,CS,0,1.68,1,1,0,1,0,0,5,4,5,5,Living here is so much more expensive than in my home country so it has pushed me to save more and dont spend recklessly ,5,0,1,0,0,0
39,Employee,1,21,North America,1,1,IEM,1,1.7,1,1,1,1,0,0,4,2,4,5,"Germans value financial safety more than those back home, I am trying to also implement these values into my life. ",4,0,1,0,0,0
40,Employee,1,22,North America,1,1,IEM,1,1.7,1,1,1,1,0,0,4,5,4,5,,4,0,1,0,0,0
41,Employee,1,21,Western Europe,1,0,IRPH,0,1.87,0,1,1,0,0,0,2,3,5,4,no,1,0,1,0,0,0
42,Employee,0,19,Western Europe,1,0,Physics,0,1.9,0,1,1,1,0,0,4,3,4,1,,1,0,1,0,0,0
43,Employee,0,20,Latin America and the Caribbean,0,1,IEM,0,2.0,0,0,1,1,1,0,4,5,4,5,Since I maintain myself managing the money I get from my job is a big impact. I consider all the possible situations a could be in the future. ,5,0,1,0,0,0
44,Employee,1,21,Latin America and the Caribbean,0,1,IBA,1,2.0,1,0,1,1,0,1,5,4,5,4,I believe it provided a better perspective when it comes to seeking financial stability,1,0,1,0,0,0
45,Employee,1,20,Eastern Europe,0,0,CS,0,2.0,1,1,1,0,0,0,2,4,4,5,Yea,4,0,1,0,0,0
46,Employee,0,20,North America,1,1,IEM,1,2.0,1,1,1,1,0,0,5,5,3,3,No,3,0,1,0,0,0
47,Employee,1,21,Latin America and the Caribbean,0,1,GEM,0,2.1,0,1,1,0,0,0,5,3,3,3,"Yes. It made me understand the importance of money, and responsibility of said money. ",4,0,1,0,0,0
48,Employee,0,24,Africa,1,0,EES,1,2.1,0,1,1,0,1,0,4,5,3,4,"Yes, moving to impacted how I manage my money. I try to save money and think about what I buy before spend any money. I often do price comparisons when shopping.",2,0,1,0,0,0
49,Employee,1,18,Eastern Europe,0,1,IEM,0,2.33,0,1,0,1,1,0,4,3,3,3,,0,0,1,0,0,0
50,Employee,1,21,Latin America and the Caribbean,0,1,GEM,0,2.49,0,1,1,1,0,0,3,0,3,0,"Yes, on one hand I spend more money than before, but at the same time I'm more careful where I spend my money",2,0,1,0,0,0
51,Employee,0,20,Middle East and North Africa,1,0,ISCP,0,2.7,0,1,1,0,0,0,3,2,2,1,,0,0,1,0,0,0
52,Employee,0,19,Middle East and North Africa,1,0,CS,0,2.94,0,1,0,1,0,0,3,1,3,2,"Moving to Germany has improved my money management as I had to be more careful with my own spending tendencies as well as learning how banking and credit/debit cards work. However, suddenly having this much financial freedom also increased my tendency to make unnecessary purchases impulsively. Although, I worry a lot more about being financially secure now. My overall mindset on money has not changed; I still aim to find ways to make money and still more-or-less value its worth the same as I did while I still lived with my parents. Regarding financial future planning, I've started worrying a lot more about job seeking as I have the ability to legally work now, and thrilled to feel the satisfaction of indepdence from receiving my first paycheck.",0,0,1,0,0,0
53,Employee,0,20,North America,1,0,EES,0,3.0,0,1,1,0,1,0,4,3,4,1,"Germany has taught me that living doesn't have to be expensive to be decent. I don't have to kill myself working to have warm food, clothes, a roof and a friend. It's a very exhausting and toxic work culture in the US",2,0,1,0,0,0
54,Employee,1,19,Eastern Europe,0,0,ECE,0,3.29,0,1,1,0,0,0,4,4,3,3,Things in Germany are more expensive.,1,0,1,0,0,0
55,Employee,1,20,Western Europe,1,1,IBA,0,3.4,1,1,1,0,1,0,3,2,2,3,,2,0,1,0,0,0
56,Employee,0,18,Eastern Europe,1,0,BCCB,0,3.77,1,1,0,0,0,0,5,4,3,5,I spend money much more efficiently and I have registered for finance and accounting class as a minor to help me with my financial future and know how to make my financial decisions in the future. ,2,0,1,0,0,0
57,Employee Investor,1,21,Latin America and the Caribbean,0,0,Physics,0,1.26,0,1,1,1,0,0,4,5,4,4,"Moving to Germany has made me more aware of  where I spend my money, probably because I have become way more financially independent since I moved to Germany.",2,1,1,0,0,0
58,Employee Investor,1,18,Latin America and the Caribbean,1,1,IEM,1,1.33,1,1,0,1,1,1,4,4,3,2,Yes,3,1,1,0,0,0
59,Employee Investor,1,20,Africa,1,1,IEM,0,1.6,1,1,1,0,1,0,4,3,4,2,,5,1,1,0,0,0
60,Employee Investor,1,22,Africa,0,1,IEM,1,1.62,1,0,1,1,1,0,4,3,4,4,Yes. I have to budget for myself.,4,1,1,0,0,0
61,Employee Investor,1,28,Western Europe,1,1,IBA,1,2.0,1,1,1,1,1,0,3,1,4,4,I did not move to Germany.,5,1,1,0,0,0
62,Employee Investor Business owner,1,21,Latin America and the Caribbean,0,1,IEM,1,1.5,1,1,1,0,0,0,4,4,4,3,"Yes, I have a better perspective about money, and have learned that a job is not a safe place. It has then altered my brain, and I am now learning about personal finance.",4,1,1,0,0,1
63,Employee Investor Business owner,1,20,North America,1,0,CBT,1,2.0,1,1,1,0,1,0,4,5,5,2,-,3,1,1,0,0,1
64,Employee Investor Business owner,1,22,Africa,0,0,CS,1,2.35,1,1,1,1,1,0,3,5,0,0,,3,1,1,0,0,1
65,Employee Self-employed,0,21,Western Europe,1,1,GEM,1,1.3,1,1,1,1,1,1,4,4,5,4,,4,0,1,1,0,0
66,Employee Self-employed,0,19,Eastern Europe,0,0,CS,0,1.33,1,1,0,1,1,1,5,5,5,1,YES!,2,0,1,1,0,0
67,Employee Self-employed,1,18,Eastern Europe,0,0,ECE,0,2.5,0,1,0,0,0,0,3,3,1,3,"Yes. Coming here has made me value money more, as everything is more expensive here. It also made me more seriously consider self employment as opposed to wage labour and employment for my future.",2,0,1,1,0,0
68,Employee Self-employed,1,22,Southeast Asia,1,0,ECE,0,1.0,0,0,1,1,0,1,4,4,4,3,,1,0,1,1,0,0
69,Employee Self-employed,1,20,North America,1,0,EES,0,1.0,0,1,1,0,1,0,4,3,4,1,"it has impacted my way of managing and seeking out money/employment. here it seems much more relaxed and up to the individual, and everyone can basically live how they want since income and regional taxes dont vary as much in DE as they do in the US.",1,0,1,1,0,0
70,Employee Self-employed Investor,1,22,Western Europe,1,0,IRPH,1,1.0,1,1,1,0,1,0,5,4,4,5,Lived in Germany most of my life.,5,1,1,1,0,0
71,Employee Self-employed Investor Business owner,1,19,Eastern Europe,1,0,CS,0,3.0,0,1,0,1,0,0,4,4,2,2,,4,1,1,1,0,1
72,Employee,1,21,South Asia,0,1,IEM,0,1.67,0,1,1,0,0,0,5,4,1,1,,1,0,1,0,0,0
73,Employee,0,20,Latin America and the Caribbean,0,1,IEM,0,2.0,0,1,1,0,1,0,5,5,1,1,,2,0,1,0,0,0
74,Employee,0,20,Middle East and North Africa,0,0,IRPH,0,2.0,1,1,1,0,0,0,4,4,1,1,,1,0,1,0,0,0
75,Employee,1,20,Western Europe,1,1,IBA,0,3.44,0,1,1,0,1,0,5,5,1,2,,2,0,1,0,0,0
76,Investor,0,21,Latin America and the Caribbean,0,0,ISCP,0,1.08,0,1,1,1,1,0,1,2,3,3,,5,1,0,0,0,0
77,Investor,0,21,Western Europe,1,1,GEM,1,2.33,1,0,1,0,1,1,1,2,5,4,,5,1,0,0,0,0
78,Investor,1,20,Western Europe,1,1,IEM,0,2.5,1,0,1,0,1,1,4,3,4,4,"Nope, lived in Germany my entire life, when it comes to money my parents have educated me on how to manage it",5,1,0,0,0,0
79,Investor,1,21,Latin America and the Caribbean,0,1,IBA,1,3.0,1,1,1,1,1,0,5,4,5,4,"Living alone has changed the way I manage my money, so yes!",4,1,0,0,0,0
80,Investor,0,21,Africa,0,1,IBA,1,3.0,1,1,1,0,0,0,1,1,4,4,,5,1,0,0,0,0
81,Investor,0,22,North America,1,1,IBA,1,3.0,1,0,1,1,1,0,1,1,4,4,,5,1,0,0,0,0
82,Investor,1,21,Western Europe,1,1,GEM,1,3.0,1,0,1,0,1,0,0,0,5,5,,5,1,0,0,0,0
83,Investor,1,23,Latin America and the Caribbean,0,1,GEM,1,3.12,1,1,1,0,1,0,2,4,5,4,,4,1,0,0,0,0
84,Investor,0,22,Western Europe,1,1,IBA,1,3.33,1,0,1,1,1,0,1,2,4,4,,4,1,0,0,0,0
85,Investor,1,22,North America,1,0,CS,1,4.0,1,0,1,0,1,0,1,1,3,4,,5,1,0,0,0,0
86,Investor,0,23,Latin America and the Caribbean,0,1,IBA,1,4.0,1,1,1,1,0,0,1,1,4,4,,5,1,0,0,0,0
87,Investor,0,23,Western Europe,1,1,IBA,1,4.0,1,0,0,0,1,1,1,1,4,4,,5,1,0,0,0,0
88,Investor,0,21,Africa,0,1,IBA,1,4.0,1,1,1,0,0,0,1,3,4,3,,4,1,0,0,0,0
89,Investor,0,22,Middle East and North Africa,0,1,GEM,1,3.0,1,1,1,0,0,0,1,1,3,4,,5,1,0,0,0,0
90,Investor Business owner,0,20,Latin America and the Caribbean,0,1,GEM,1,1.42,1,1,1,0,0,0,1,3,5,4,,4,1,0,0,0,1
91,Investor Business owner,1,21,Latin America and the Caribbean,0,1,IEM,1,1.5,1,1,1,0,0,0,1,2,4,5,,5,1,0,0,0,1
92,Investor Business owner,0,20,Latin America and the Caribbean,0,1,GEM,1,1.5,1,1,1,0,0,0,2,2,5,4,,3,1,0,0,0,1
93,Investor Business owner,1,22,Latin America and the Caribbean,1,1,IEM,1,2.0,1,0,1,1,1,1,4,4,4,4,"Monthly deposits by my parents have held me responsible for buying groceries and leisure activities. From this money I have also learned to save part of it to make a monthly deposit into the stock market, the more I can save by the end of the month the more I invest in the stock market. This has taught me the value of money, how to save money and how to invest minimising risk.",4,1,0,0,0,1
94,Investor Business owner,1,19,Southeast Asia,1,0,Robotics,0,2.43,1,0,1,1,1,0,3,2,3,4,"A lot. Too many reasons, to start with made me more ambitious for money.",3,1,0,0,0,1
95,Investor Business owner,1,22,Africa,0,1,GEM,0,3.68,0,1,0,0,0,0,4,4,3,4,"Yes, it made me value money more due as cost of living is significantly high compared to my country ",2,1,0,0,0,1
96,Investor Business owner,0,20,Latin America and the Caribbean,0,1,IEM,1,4.0,1,1,1,1,1,1,4,3,3,4,"Yes, living alone has given me a better understanding of my financial situation",2,1,0,0,0,1
97,Investor Business owner,1,23,Eastern Europe,0,0,Physics,0,4.0,1,1,1,1,0,0,4,4,5,4,"Yes a little bit, because being new here and not knowing the culture and people make you feel a little bit reserved to everything",3,1,0,0,0,1
98,Self-employed,0,18,Middle East and North Africa,1,0,CS,0,1.67,0,1,0,0,0,0,4,5,3,3,"Moving to Germany made me realize that I can only rely on myself in all aspects (of course, with God’s guidance). It altered my mindset, knowing that I am the one who can take hold of my future and have the responsibility of all the financing actions in order to reach it.",1,0,0,1,0,0
99,Self-employed,1,21,Western Europe,1,1,IEM,0,1.91,0,1,1,0,0,0,5,5,4,2,,2,0,0,1,0,0
100,Self-employed,1,20,Eastern Europe,0,0,EES,0,2.0,0,1,1,0,0,0,4,4,3,0,,0,0,0,1,0,0
101,Self-employed,1,21,Latin America and the Caribbean,0,1,GEM,1,2.3,1,1,1,1,1,1,5,4,3,4,"Yes, I prioritize different things now and have learned to save more",4,0,0,1,0,0
102,Self-employed,0,18,Eastern Europe,0,0,CBT,0,2.33,1,1,0,1,1,0,2,4,4,5,Yes I have learned how to manage my own money and save more,2,0,0,1,0,0
103,Self-employed,0,18,South Asia,1,0,CS,0,3.0,0,1,0,0,0,0,5,4,3,4,,1,0,0,1,0,0
104,Self-employed,0,22,Middle East and North Africa,0,0,MCCB,0,1.0,0,1,1,1,0,0,5,5,0,0,,0,0,0,1,0,0
105,Self-employed,0,22,Africa,0,0,IRPH,0,1.0,0,1,0,0,0,0,5,5,5,0,,0,0,0,1,0,0
106,Self-employed,0,19,Latin America and the Caribbean,0,0,SMP,0,1.0,0,1,0,1,0,0,5,1,0,1,,1,0,0,1,0,0
107,Self-employed,0,22,Middle East and North Africa,1,1,GEM,1,1.1,1,1,1,1,1,0,3,4,5,4,No. I always cared for managing my money and my expenses to better benefit from it in thr future,3,0,0,1,0,0
108,Self-employed,1,20,Southeast Asia,0,0,Mathematics,0,1.2,0,1,1,1,0,0,5,5,1,0,,1,0,0,1,0,0
109,Self-employed,0,20,Middle East and North Africa,0,0,ISCP,0,1.25,0,1,0,1,0,0,5,5,1,1,,1,0,0,1,0,0
110,Self-employed,0,21,Western Europe,1,0,IRPH,0,1.33,0,1,0,1,0,0,5,5,1,5,,1,0,0,1,0,0
111,Self-employed,0,20,North America,1,0,IRPH,0,1.33,0,1,0,1,0,0,5,5,1,1,,0,0,0,1,0,0
112,Self-employed,0,22,Eastern Europe,0,0,IRPH,0,1.33,0,1,0,1,0,0,5,5,0,0,,1,0,0,1,0,0
113,Self-employed,1,20,Central Asia,0,0,ISCP,0,1.33,0,1,0,1,0,0,4,5,0,0,,1,0,0,1,0,0
114,Self-employed,1,18,Eastern Europe,0,0,ISCP,0,1.4,0,1,1,1,0,0,5,4,2,2,,2,0,0,1,0,0
115,Self-employed,0,23,Middle East and North Africa,0,0,MCCB,0,1.5,0,1,1,1,0,0,5,5,1,1,,1,0,0,1,0,0
116,Self-employed,1,22,Western Europe,1,1,IEM,1,2.0,0,1,1,0,1,0,4,4,4,3,"Yes, tax is crazy. Inflation is mad, invest your money",2,0,0,1,0,0
117,Self-employed,1,18,Western Europe,1,0,ISCP,0,2.0,0,1,0,1,0,0,4,3,1,1,,1,0,0,1,0,0
118,Self-employed,1,20,Western Europe,1,0,CS,0,2.47,1,1,0,1,0,0,2,4,4,4,"yeah, it's more expensive",5,0,0,1,0,0
119,Self-employed,1,19,Eastern Europe,0,0,Robotics,0,5.0,1,1,0,0,0,0,0,4,5,5,,2,0,0,1,0,0
120,Self-employed,0,19,Eastern Europe,0,0,CS,0,2.0,1,0,0,1,1,0,2,4,4,3,"Yes, because I am somehow financially aware of my expenses for groceries.",3,0,0,1,0,0
121,Self-employed,0,18,Western Europe,1,0,MCCB,0,1.0,0,1,1,1,1,0,0,5,3,3,,4,0,0,1,0,0
122,Self-employed Investor,0,21,Latin America and the Caribbean,0,0,ISCP,0,1.08,0,1,1,1,1,0,4,4,3,3,I had to learn to manage my personal finances,5,1,0,1,0,0
123,Self-employed Investor,1,22,Latin America and the Caribbean,0,1,GEM,1,1.46,1,1,1,1,1,0,5,4,4,2,"No, I feel like my financial knowledge is not related to me moving to Germany.",3,1,0,1,0,0
124,Self-employed Investor Business owner,1,22,Latin America and the Caribbean,1,1,IBA,1,1.3,1,1,1,1,1,1,4,5,5,3,Yes,5,1,0,1,0,1
125,Self-employed Investor Business owner,1,18,Eastern Europe,1,0,CS,0,2.0,1,0,0,1,0,1,3,3,5,2,,2,1,0,1,0,1
126,Self-employed Investor Business owner,1,22,Latin America and the Caribbean,1,1,IBA,1,1.3,1,1,1,1,1,1,2,5,3,2,,3,1,0,1,0,1
