"Category","Annual Mean","5-yr smooth"
"1901",679.26,683.34
"1902",670.15,681.24
"1903",714.35,679.51
"1904",627.67,678.54
"1905",724.76,678.7
"1906",712.98,680.38
"1907",644.51,683.88
"1908",630.17,689.03
"1909",733.81,695.47
"1910",801.88,702.77
"1911",555.92,710.53
"1912",786.51,718.34
"1913",688.06,725.43
"1914",760.06,730.65
"1915",737.04,732.9
"1916",803.38,731.07
"1917",674.17,724.03
"1918",705.15,712.5
"1919",713.14,699.72
"1920",671.26,689.18
"1921",534.28,684.36
"1922",830.8,688.77
"1923",735.73,703.69
"1924",713.09,724.52
"1925",727.39,745.72
"1926",784.84,761.53
"1927",804.85,766.44
"1928",687.48,756.36
"1929",599.79,735.2
"1930",814.27,709.66
"1931",808.92,686.29
"1932",662.98,671.66
"1933",611.55,671.69
"1934",618.26,685.03
"1935",744.68,706.01
"1936",751.27,728.89
"1937",729.53,748
"1938",677.56,757.64
"1939",855.98,756.44
"1940",780.54,747.3
"1941",773.92,733.32
"1942",635.04,717.7
"1943",584.47,703.52
"1944",788.99,692.88
"1945",733.25,685.94
"1946",710.99,682.68
"1947",628.06,683.05
"1948",694.05,686.98
"1949",615.82,694.2
"1950",798.31,703.38
"1951",714.44,713.07
"1952",757.37,721.77
"1953",575.68,728.02
"1954",806.06,730.55
"1955",719.08,729.8
"1956",759.67,726.88
"1957",722.55,722.91
"1958",819.5,719.04
"1959",536.69,716.34
"1960",810.72,715.51
"1961",779.53,716.97
"1962",658.26,721.09
"1963",635.89,728.28
"1964",612.48,738.89
"1965",898.04,751.72
"1966",900.91,763.33
"1967",762.75,770.26
"1968",774.36,768.99
"1969",666.28,755.97
"1970",814.55,730.57
"1971",562.8,698.74
"1972",626.54,667.47
"1973",651.95,643.69
"1974",799.03,634.5
"1975",634.42,644.75
"1976",550.02,669.89
"1977",765.74,702.79
"1978",722.13,736.02
"1979",762.19,762.43
"1980",771.58,775.57
"1981",897.24,775.88
"1982",655.05,767.56
"1983",720.28,754.84
"1984",743.99,741.91
"1985",677.94,732.85
"1986",770.41,728.85
"1987",823.07,728.28
"1988",800.1,729.43
"1989",637.01,730.6
"1990",734.15,730.07
"1991",604.17,727.32
"1992",735.03,723.8
"1993",793.47,721.1
"1994",789.2,720.87
"1995",781.44,724.72
"1996",622.39,733.39
"1997",665.63,744.91
"1998",808.89,756.68
"1999",768.89,766.2
"2000",757.74,770.95
"2001",812.38,768.96
"2002",910.58,761.76
"2003",568.34,752.14
"2004",731.39,742.9
"2005",718.19,736.81
"2006",700.73,736.43
"2007",885.79,741.04
"2008",720.15,747.72
"2009",751.49,753.55
"2010",789.24,755.56
"2011",677.6,750.9
"2012",726.41,739.34
"2013",741.73,723.74
"2014",713.49,707.27
"2015",655.25,692.96
"2016",713.24,683.89
"2017",814.74,681.79
"2018",571.21,685.58
"2019",676.23,693.78
"2020",661.6,704.91
"2021",772.58,717.55